"date","station_id","parameter","unit","value"
2023-01-21,"L001","AIRT","Degrees Celsius",21.43
2023-01-21,"L001","BARO","mm Mercury",763.74
2023-01-21,"L001","HUMI","Percent",89.2
2023-01-21,"L001","WNDS","MPH",4.68
2023-01-21,"L005","AIRT","Degrees Celsius",20.66
2023-01-21,"L005","BARO","mm Mercury",763.93
2023-01-21,"L005","HUMI","Percent",90.88
2023-01-21,"L005","WNDS","MPH",4.69
2023-01-21,"L006","AIRT","Degrees Celsius",20.45
2023-01-21,"L006","BARO","mm Mercury",763.11
2023-01-21,"L006","HUMI","Percent",99.37
2023-01-21,"L006","RADP","MICROMOLE/m^2/s",174.68
2023-01-21,"L006","RADT","kW/m^2",0.094
2023-01-21,"L006","WNDS","MPH",4.02
2023-01-21,"LZ40","AIRT","Degrees Celsius",20.28
2023-01-21,"LZ40","BARO","mm Mercury",761.71
2023-01-21,"LZ40","HUMI","Percent",95.01
2023-01-21,"LZ40","RADT","kW/m^2",0.088
2023-01-21,"LZ40","WNDD","DEGREES CLOCKWI",140.9
2023-01-21,"LZ40","WNDS","MPH",NA
2023-01-22,"L001","AIRT","Degrees Celsius",20.63
2023-01-22,"L001","BARO","mm Mercury",760.96
2023-01-22,"L001","HUMI","Percent",88.57
2023-01-22,"L001","WNDS","MPH",8.39
2023-01-22,"L005","AIRT","Degrees Celsius",22.02
2023-01-22,"L005","BARO","mm Mercury",761.07
2023-01-22,"L005","HUMI","Percent",80.95
2023-01-22,"L005","WNDS","MPH",10.86
2023-01-22,"L006","AIRT","Degrees Celsius",20.72
2023-01-22,"L006","BARO","mm Mercury",760.4
2023-01-22,"L006","HUMI","Percent",91.77
2023-01-22,"L006","RADP","MICROMOLE/m^2/s",246.7
2023-01-22,"L006","RADT","kW/m^2",0.137
2023-01-22,"L006","WNDS","MPH",9.62
2023-01-22,"LZ40","AIRT","Degrees Celsius",20.04
2023-01-22,"LZ40","BARO","mm Mercury",759.05
2023-01-22,"LZ40","HUMI","Percent",90.23
2023-01-22,"LZ40","RADT","kW/m^2",0.143
2023-01-22,"LZ40","WNDD","DEGREES CLOCKWI",192.56
2023-01-22,"LZ40","WNDS","MPH",7.13
2023-01-23,"L001","AIRT","Degrees Celsius",19.39
2023-01-23,"L001","BARO","mm Mercury",763.51
2023-01-23,"L001","HUMI","Percent",80.4
2023-01-23,"L001","WNDS","MPH",11.33
2023-01-23,"L005","AIRT","Degrees Celsius",19.4
2023-01-23,"L005","BARO","mm Mercury",763.76
2023-01-23,"L005","HUMI","Percent",80.02
2023-01-23,"L005","WNDS","MPH",10.21
2023-01-23,"L006","AIRT","Degrees Celsius",18.53
2023-01-23,"L006","BARO","mm Mercury",763
2023-01-23,"L006","HUMI","Percent",93.79
2023-01-23,"L006","RADP","MICROMOLE/m^2/s",106.21
2023-01-23,"L006","RADT","kW/m^2",0.057
2023-01-23,"L006","WNDS","MPH",8.93
2023-01-23,"LZ40","AIRT","Degrees Celsius",18.24
2023-01-23,"LZ40","BARO","mm Mercury",761.68
2023-01-23,"LZ40","HUMI","Percent",88.16
2023-01-23,"LZ40","RADT","kW/m^2",0.034
2023-01-23,"LZ40","WNDD","DEGREES CLOCKWI",136.16
2023-01-23,"LZ40","WNDS","MPH",NA
2023-01-24,"L001","AIRT","Degrees Celsius",18.76
2023-01-24,"L001","BARO","mm Mercury",765.78
2023-01-24,"L001","HUMI","Percent",76.73
2023-01-24,"L001","WNDS","MPH",11.45
2023-01-24,"L005","AIRT","Degrees Celsius",17.91
2023-01-24,"L005","BARO","mm Mercury",765.95
2023-01-24,"L005","HUMI","Percent",80.39
2023-01-24,"L005","WNDS","MPH",9.86
2023-01-24,"L006","AIRT","Degrees Celsius",18.78
2023-01-24,"L006","BARO","mm Mercury",765.03
2023-01-24,"L006","HUMI","Percent",89.25
2023-01-24,"L006","RADP","MICROMOLE/m^2/s",191.79
2023-01-24,"L006","RADT","kW/m^2",0.106
2023-01-24,"L006","WNDS","MPH",10.96
2023-01-24,"LZ40","AIRT","Degrees Celsius",18.19
2023-01-24,"LZ40","BARO","mm Mercury",763.75
2023-01-24,"LZ40","HUMI","Percent",80.89
2023-01-24,"LZ40","RADT","kW/m^2",0.122
2023-01-24,"LZ40","WNDD","DEGREES CLOCKWI",66.04
2023-01-24,"LZ40","WNDS","MPH",9.84
2023-01-25,"L001","AIRT","Degrees Celsius",21.22
2023-01-25,"L001","BARO","mm Mercury",762.28
2023-01-25,"L001","HUMI","Percent",88.26
2023-01-25,"L001","WNDS","MPH",8.07
2023-01-25,"L005","AIRT","Degrees Celsius",21.98
2023-01-25,"L005","BARO","mm Mercury",762.41
2023-01-25,"L005","HUMI","Percent",81.64
2023-01-25,"L005","WNDS","MPH",8.84
2023-01-25,"L006","AIRT","Degrees Celsius",21.01
2023-01-25,"L006","BARO","mm Mercury",761.73
2023-01-25,"L006","HUMI","Percent",91.01
2023-01-25,"L006","RADP","MICROMOLE/m^2/s",267.26
2023-01-25,"L006","RADT","kW/m^2",0.151
2023-01-25,"L006","WNDS","MPH",8.22
2023-01-25,"LZ40","AIRT","Degrees Celsius",20.37
2023-01-25,"LZ40","BARO","mm Mercury",760.39
2023-01-25,"LZ40","HUMI","Percent",89.13
2023-01-25,"LZ40","RADT","kW/m^2",0.166
2023-01-25,"LZ40","WNDD","DEGREES CLOCKWI",156.45
2023-01-25,"LZ40","WNDS","MPH",NA
2023-01-26,"L001","AIRT","Degrees Celsius",19.49
2023-01-26,"L001","BARO","mm Mercury",764.08
2023-01-26,"L001","HUMI","Percent",75.31
2023-01-26,"L001","WNDS","MPH",11.09
2023-01-26,"L005","AIRT","Degrees Celsius",19.26
2023-01-26,"L005","BARO","mm Mercury",764.29
2023-01-26,"L005","HUMI","Percent",75.16
2023-01-26,"L005","WNDS","MPH",9.78
2023-01-26,"L006","AIRT","Degrees Celsius",19.13
2023-01-26,"L006","BARO","mm Mercury",763.46
2023-01-26,"L006","HUMI","Percent",86.88
2023-01-26,"L006","RADP","MICROMOLE/m^2/s",148.89
2023-01-26,"L006","RADT","kW/m^2",0.08
2023-01-26,"L006","WNDS","MPH",10.48
