"Date","S191_AMMONIA_N_Ld_mg","S191_S_FLOW_cfd"
"1988-09-05",46974250.487808,234871.25243904
"1988-09-07",23552367.2584705,185939.74151424
"1988-09-09",4330438.7168448,433043.87168448
"1988-09-10",8416219.8790656,420810.99395328
"1988-09-12",30508797.0616128,210405.49697664
"1988-09-13",25346522.6590464,181046.59042176
"1988-10-03",1345616.550432,134561.6550432
"1988-11-04",60772936.5686016,225084.95025408
"1988-11-06",50497319.2743936,210405.49697664
"1988-11-08",6312164.9092992,210405.49697664
"1988-11-30",38655893.630592,193279.46815296
"1989-03-07",2055123.4588416,205512.34588416
"1989-03-18",84015404.2578816,83183.56857216
"1989-04-11",7086913.83227521,193279.46815296
"1989-07-06",12477535.285824,249550.70571648
"1989-07-24",415917.8428608,41591.78428608
"1989-07-25",21945782.6497728,168813.71269056
"1989-07-28",6458959.4420736,215298.64806912
"1989-07-31",7119534.8395584,237317.82798528
"1989-08-02",1088726.1180768,217745.22361536
"1989-08-14",57567922.6030272,442830.17386944
"1989-08-15",10764932.403456,215298.64806912
"1989-08-21",192007248.868915,800030.20362048
"1989-08-28",170403986.795616,486868.53370176
"1989-08-30",69678471.5569152,217745.22361536
"1989-09-06",515248810.038144,2576244.05019072
"1989-09-12",83636185.0482144,389005.51185216
"1989-09-13",73470663.6535872,222638.37470784
"1989-09-15",55977648.4979712,215298.64806912
"1989-09-17",94804802.4168,379219.2096672
"1989-09-19",173853658.315814,457509.62714688
"1989-09-20",155846862.295488,445276.74941568
"1989-09-22",64467265.643424,207958.9214304
"1989-09-24",70559238.7535616,251997.28126272
"1989-09-25",572107225.732762,1546235.74522368
"1989-09-27",239666540.50967,773117.87261184
"1989-09-28",252095144.28457,787797.32588928
"1989-09-29",137693271.742387,491761.68479424
"1989-10-01",77067129.70656,256890.4323552
"1989-10-03",43695839.2558464,229978.10134656
"1989-10-05",62950388.8047552,203065.77033792
"1989-10-07",83183568.57216,332734.27428864
"1989-10-09",1258396132.20854,4660726.4155872
"1989-10-11",1289443175.89033,4775715.46626048
"1989-10-15",244412897.069376,1629419.31379584
"1989-10-17",186062070.291552,826942.53462912
"1989-10-20",236632786.832333,985969.94513472
"1989-10-22",115600694.55984,462402.77823936
